Name,Location,Twitter
Jurien Bay Police Station,"['2 Batt Street, Jurien Bay WA 6516']",['@JurienBayPol']
Kalbarri Police Station,"['48 Grey Street, Kalbarri WA 6536']",['@KalbarriPol']
Leeman Police Station,"['22 Morcombe Road, Leeman WA 6514']",['@LeemanPol']
Meekatharra Police Station,"['Cnr Main & Savage Streets, Meekatharra WA 6642']",['@MeekaPol']
Mingenew Police Station,"['Williams Street, Mingenew WA 6522']",['@MingenewPol']
Morawa Police Station,"['2 Stokes Road, Morawa WA 6623']",['@MorawaPol']
Mount Magnet Police Station,"['33 Richardson Street, Mount Magnet WA 6638']",['@MtMagnetPol']
Mullewa Police Station,"['87 Mills Street, Mullewa WA 6630']",['@MullewaPol']
Northampton Police Station,"['258 Hampton Road, Northampton WA 6535']",['@NorthamptonPol']
Perenjori Police Station,"['Lot 90, Russell Street, Perenjori WA 6620']",['@PerenjoriPol']
Shark Bay Police Station,"['20 Durlacher Street, Denham WA 6537']",['@SharkBayPol']
Three Springs Police Station,"['6 Thomas Street, Three Springs WA 6519']",['@ThreeSpringsPol']
Yalgoo Police Station,"['Cnr Piesse St & Campbell St, Yalgoo WA 6530']",['@YalgooPol']
Barrow Island Police Station,[''],['@BarrowIslandPol']
Dampier Police Station,"['389 High Street, Dampier WA 6713']",['@DampierPol']
Exmouth Police Station,"['32 Maidstone Crescent, Exmouth WA 6707']",['@ExmouthPol']
Jigalong MFPF,[],[]
Karratha Police Station,"['38 Hillview Road, Karratha WA 6714']",['@KarrathaPol']
Marble Bar Police Station,"['31 General Street, Marble Bar WA 6760']",['@MarbBarPol']
Newman Police Station,"['48 Mindarra Drive, Newman WA 6753']",['@NewmanPolice']
Nullagine Police Station,"['16-22 Gallop Road, Nullagine WA 6758']",['@NullaginePol']
Onslow Police Station,"['3 Second Avenue, Onslow WA 6710']",['@OnslowPol']
Pannawonica Police Station,"['Pannawonica Drive, Pannawonica WA 6716']",['@PannaPol']
Paraburdoo Police Station,"['Lot 600, Ashburton Avenue, Paraburdoo WA 6754']",['@ParaburdooPol']
Port Hedland Police Station,"['3 Anderson Street, Port Hedland WA 6721']",['@PortHedlandPol']
Roebourne Police Station,"['Cnr Carnarvon Terrace & Queen Street, Roebourne WA 6718']",['@RoebournePol']
South Hedland Police Station,"['Forrest Circle, South Hedland WA 6722']",['@SouthHedlandPol']
Tom Price Police Station,"['1 Court Road, Tom Price WA 6751']",['@TomPricePol']
Augusta Police Station,"['3 Hillview Road, Augusta WA 6290']",['@Augusta_Pol']
Australind Police Station,"['101 Paris Road, Australind WA 6233']",['@AustralindPol']
Boyup Brook Police Station,"['88 Abel Street, Boyup Brook WA 6244']",['@BoyupBrookPol']
Bridgetown Police Station,"['26 Steere Street, Bridgetown WA 6255']",['@BridgetownPol']
Bunbury Police Station,"['76-78 Wittenoom Street, Bunbury WA 6230']",['@BunburyPolice']
Busselton Police Station,"['20 Stanley Street, Busselton WA 6280']",['@BusseltonPolice']
Collie Police Station,"['39 Wittenoom Street, Collie WA 6225']",['@ColliePol']
Donnybrook Police Station,"['50 South Western Highway, Donnybrook WA 6239']",['@DonnybrookPol']
Dunsborough Police Station,"['1 Leslie Pearce Court, Dunsborough WA 6281']",['@DunsboroughPol']
Harvey Police Station,"['107-109 Uduc Road, Harvey WA 6220']",['@HarveyPolice']
Manjimup Police Station,"['6 Mount Street, Manjimup WA 6258']",['@ManjimupPol']
Margaret River Police Station,"['47 Willmott Avenue, Margaret River WA 6285']",['@MargRiverPol']
Nannup Police Station,"['55A Warren Road, Nannup WA 6275']",['@NannupPol']
Pemberton Police Station,"['Lot 239, Ellis Street, Pemberton WA 6260']",['@PembertonPol']
Waroona Police Station,"['9 Recreation Road, Waroona WA 6215']",['@WaroonaPol']
Yarloop Police Station,"['107 Johnston Road, Yarloop WA 6218']",['@YarloopPol']
Bencubbin Police Station,"['Lot 282, Monger Street, Bencubbin WA 6477']",['@BencubbinPol']
Beverley Police Station,"['57 Hunt Road, Beverley WA 6304']",['@BeverleyPol']
Bruce Rock Police Station,"['14 Johnson Street, Bruce Rock WA 6418']",['@BruceRockPol']
Cunderdin Police Station,"['Lot 390, Lundy Avenue, Cunderdin WA 6407']",['@CunderdinPol']
Dalwallinu Police Station,"['81 Johnston Street, Dalwallinu WA 6609']",['@DalwallinuPol']
Dowerin Police Station,"['5-7 Goldfields Road, Dowerin WA 6461']",['@DowerinPol']
Gingin Police Station,"['4 Constable Street, Gingin WA 65']",['@GinginPol']
Goomalling Police Station,"['14 Quinlan Street, Goomalling WA 6460']",['@GoomallingPol']
Kellerberrin Police Station,"['56 Massingham Street, Kellerberrin WA 6410']",['@KellerberrinPol']
Koorda Police Station,"['36 Haig Street, Koorda WA 6475']",['@KoordaPol']
Lancelin Police Station,"['Wells Street, Lancelin WA 6044']",['@LancelinPol']
Merredin Police Station,"['22 Mitchell Street, Merredin WA 6415']",['@MerredinPol']
Moora Police Station,"['Lot 50, Roberts Street, Moora WA 6510']",['@MooraPol']
Mukinbudin Police Station,"['48 Maddock Street, Mukinbudin WA 6479']",['@MukinbudinPol']
Narembeen Police Station,"['7 Longhurst Street, Narembeen WA 6369']",['@NarembeenPol']
Northam Police Station,"['7 Gairdner Street, Northam WA 6401']",['@NorthamPol']
Quairading Police Station,"['25 Avon Street, Quairading WA 6383']",['@QuairadingPol']
Southern Cross Police Station,"['75 Canopus Street, Southern Cross WA 6426']",['@SthnCrossPol']
Toodyay Police Station,"['118 Stirling Terrace, Toodyay WA 6566']",['@ToodyayPol']
Wongan Hills Police Station,"['1A Mitchell Street, Wongan Hills WA 6603']",['@WonganPol']
Wundowie Police Station,"['42 Boronia Avenue, Wundowie WA 6560']",['@WundowiePol']
Wyalkatchem Police Station,"['21 Gamble Street, Wyalkatchem WA 6485']",['@WyalkatchemPol']
York Police Station,"['4 Ford Street, York WA 6302']",['@York_Police']
